member,phrase,augmentation,source_file,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,spectral_rolloff_mean,spectral_rolloff_std,rms_energy_mean,rms_energy_std,duration_sec
amaliza,phrase1,original,audio/amaliza/phrase1.wav,-250.12298583984375,11.797905921936035,58.68811798095703,13.211677551269531,46.029544830322266,9.767402648925781,23.600860595703125,4.534738063812256,1.5661007165908813,2.808917760848999,-12.822933197021484,3.7849931716918945,-18.069969177246094,5.113792896270752,-15.458412170410156,5.091580867767334,-8.796473503112793,3.9961888790130615,-4.3476643562316895,2.9507296085357666,-3.3181312084198,2.438992500305176,-4.4530816078186035,3.1365277767181396,-8.226204872131348,2.958360195159912,3768.973106971154,3000.6910524790596,0.2545893,0.1617477,1.5
amaliza,phrase1,pitch_shifted,audio/amaliza/phrase1.wav,-288.6932678222656,13.55372428894043,68.41958618164062,15.512661933898926,43.07283020019531,10.028841018676758,14.454004287719727,3.9372642040252686,-13.528709411621094,3.8233487606048584,-19.151432037353516,5.648745536804199,-19.24823760986328,5.827188491821289,-6.472477912902832,3.9703896045684814,-5.146023750305176,2.281925678253174,-3.491614818572998,2.8834331035614014,-13.022698402404785,3.778315305709839,-13.884233474731445,5.031082630157471,-20.028024673461914,5.844083786010742,2749.127478966346,2575.5867747061934,0.23651932,0.15047938,1.5
amaliza,phrase1,time_stretched,audio/amaliza/phrase1.wav,-280.3783264160156,12.231188774108887,66.44068908691406,14.516242980957031,52.54899978637695,10.425169944763184,27.406984329223633,5.061764240264893,2.2253808975219727,2.7719688415527344,-13.573457717895508,3.846475601196289,-19.858715057373047,5.795041084289551,-17.44686508178711,5.48965311050415,-9.898003578186035,4.313628196716309,-4.787739276885986,2.659325122833252,-3.0530200004577637,2.320411205291748,-4.157154083251953,3.135749578475952,-7.894531726837158,3.716763973236084,2946.6593424479165,2844.627855940305,0.2563208,0.15841073,1.2499773242630385
amaliza,phrase1,noisy,audio/amaliza/phrase1.wav,-144.5038226086855,11.159380361772087,38.8457415069783,11.8009657688793,30.453118251400607,7.734662511038886,15.811856884667616,4.578272878957107,2.0987007306953296,2.8857753164485183,-7.851945837844976,4.284906602722576,-11.376105562026254,4.738229011093194,-9.574218802965623,4.718970216798894,-6.312764556014302,3.816975628065731,-3.5798059546612677,2.8094287941202496,-1.6277100835627312,3.0110985696616317,-3.7164082604044704,2.5036868733156536,-6.0249909319373725,2.768393252733808,7371.9749098557695,1341.8110158077427,0.25597128,0.16072714,1.5
amaliza,phrase2,original,audio/amaliza/phrase2.wav,-240.69517517089844,6.545989036560059,69.96917724609375,9.379876136779785,53.828125,4.161599159240723,27.125219345092773,2.897310256958008,2.0587081909179688,2.4662227630615234,-14.392315864562988,3.2630255222320557,-19.814908981323242,4.662388801574707,-16.97955894470215,5.044339656829834,-10.270956039428711,4.093335151672363,-4.828144550323486,3.0070383548736572,-1.6685410737991333,2.979757785797119,-3.994580030441284,2.8130288124084473,-9.643975257873535,2.8735365867614746,1345.493915264423,953.5605151340708,0.3647197,0.10101509,1.5
amaliza,phrase2,pitch_shifted,audio/amaliza/phrase2.wav,-279.0386047363281,10.99112319946289,80.1942138671875,9.66163444519043,50.91702651977539,4.524814128875732,17.854263305664062,3.264936923980713,-13.76352596282959,3.609074592590332,-21.486963272094727,5.399933815002441,-20.700550079345703,6.31724739074707,-7.2369184494018555,4.654591083526611,-4.939814567565918,3.2394325733184814,-1.1366504430770874,2.9909515380859375,-10.478656768798828,3.006253480911255,-16.3281192779541,4.065299987792969,-23.32645034790039,5.457515716552734,834.6600811298077,235.96838537071616,0.33669534,0.093709074,1.5
amaliza,phrase2,time_stretched,audio/amaliza/phrase2.wav,-270.28851318359375,12.146309852600098,77.82927703857422,9.095647811889648,60.40021514892578,4.7755303382873535,31.134654998779297,3.4793617725372314,3.152064561843872,2.436030626296997,-16.712751388549805,3.7280704975128174,-23.697668075561523,5.184455394744873,-19.482677459716797,5.562435150146484,-11.321333885192871,4.3502936363220215,-5.351068019866943,3.477055311203003,-2.0525405406951904,3.4368765354156494,-3.966853141784668,3.7702114582061768,-10.613295555114746,3.6699633598327637,826.4363606770834,567.9297191840465,0.36532474,0.09802013,1.2499773242630385
amaliza,phrase2,noisy,audio/amaliza/phrase2.wav,-138.06543556765558,4.478307023151954,47.38379414033247,5.620373424974447,38.23659157380522,4.242914379791919,19.317058826313435,3.544047489135703,0.7487772878438937,2.910200230838834,-10.452714472252197,3.225321596168769,-14.101773741364807,3.828983180630209,-11.452787052707237,3.8630544513927942,-6.414895751956714,3.0630480114776493,-2.364078348885291,2.794377196584333,-1.5774995096928932,2.7934699279155732,-3.646837733366284,2.7473516224197154,-6.851888661401638,2.5335352864711873,6487.788461538462,793.9006605238413,0.36527202,0.100807264,1.5
emmanuel,phrase1,original,audio/emmanuel/phrase1.wav,-529.7467651367188,113.93744659423828,72.16571807861328,63.50810241699219,22.524795532226562,16.86859893798828,9.251910209655762,16.64002799987793,-1.9976310729980469,12.559503555297852,0.2692171335220337,15.750848770141602,-7.932061672210693,14.007384300231934,0.14665301144123077,9.554850578308105,3.42179536819458,9.721145629882812,-1.4677003622055054,15.662291526794434,4.716102123260498,8.010775566101074,2.604173421859741,9.02408504486084,2.3958990573883057,6.449926853179932,3840.7320462740386,1749.7465959034525,0.014825351,0.03082722,2.693514739229025
emmanuel,phrase1,pitch_shifted,audio/emmanuel/phrase1.wav,-561.2484130859375,127.11296844482422,74.92180633544922,60.2546501159668,17.26569175720215,15.672391891479492,2.5649514198303223,18.086809158325195,-4.389347076416016,11.987241744995117,-3.0821125507354736,10.606725692749023,-7.455533027648926,20.688446044921875,6.729443550109863,11.411541938781738,-0.656432032585144,16.29311180114746,2.766141414642334,9.664900779724121,4.43381404876709,8.519560813903809,0.5101915597915649,6.930154800415039,3.0560050010681152,6.179657459259033,3657.6998197115386,1518.7955887681833,0.010602968,0.021895379,2.693514739229025
emmanuel,phrase1,time_stretched,audio/emmanuel/phrase1.wav,-574.8118286132812,129.2114715576172,85.92499542236328,62.24821090698242,24.32155418395996,14.961483001708984,9.4231595993042,18.290273666381836,-4.304259777069092,14.15684986114502,-0.32781583070755005,15.234362602233887,-10.987190246582031,15.8202543258667,-0.47718873620033264,9.914501190185547,3.349416732788086,9.432319641113281,-3.204333543777466,17.572507858276367,4.723978519439697,7.657853603363037,1.6203333139419556,9.620250701904297,1.7320382595062256,6.203647613525391,3628.011738885309,1687.2676217779479,0.01015108,0.019035483,2.2445804988662132
emmanuel,phrase1,noisy,audio/emmanuel/phrase1.wav,-172.77437627858097,20.514958402140113,6.346228577217178,22.06640972096468,6.360568255418404,12.708272112964284,3.7136233249215698,7.76878364729355,1.2123836876017502,5.416641623173973,-0.8631495239635514,4.520121191077254,-2.0644204683906224,5.142614131814864,-2.2126981670973334,6.169166544993798,-1.9189802158596843,5.816605431316127,-1.4626117379436636,5.480619647766069,-0.9817394241513179,5.073590201259573,-0.43036447688988494,3.9714790188864484,0.6609656351714207,3.5810397167479455,9188.144155649039,506.5653979142451,0.03055911,0.02513195,2.693514739229025
emmanuel,phrase2,original,audio/emmanuel/phrase2.wav,-519.720947265625,143.39149475097656,96.99113464355469,70.04629516601562,19.715290069580078,25.8801326751709,14.024582862854004,17.467256546020508,0.18057438731193542,13.924436569213867,2.521754264831543,11.705891609191895,-9.077167510986328,13.734736442565918,0.0068015544675290585,8.63145923614502,-2.082376480102539,7.970422744750977,-2.5434484481811523,11.376015663146973,5.732964515686035,7.9832563400268555,2.601370334625244,6.189849853515625,4.778571128845215,6.939594268798828,3740.4609375,1917.379164718262,0.018589882,0.029070605,3.4597732426303853
emmanuel,phrase2,pitch_shifted,audio/emmanuel/phrase2.wav,-524.982177734375,144.77565002441406,83.1812744140625,66.88212585449219,13.474996566772461,21.231435775756836,7.137710094451904,15.743115425109863,-3.2987165451049805,13.258126258850098,-2.3652420043945312,8.486990928649902,-8.06916332244873,13.54740047454834,3.680445909500122,8.053779602050781,-4.2671637535095215,14.925246238708496,6.138606548309326,10.005020141601562,4.3322296142578125,5.824844837188721,2.269451379776001,5.8751630783081055,0.8138987421989441,5.652873516082764,3638.1064453125,1763.1500795383888,0.013851647,0.021206902,3.4597732426303853
emmanuel,phrase2,time_stretched,audio/emmanuel/phrase2.wav,-552.2481689453125,152.69082641601562,101.31452941894531,64.93714904785156,20.60350227355957,23.94203758239746,13.843616485595703,17.276777267456055,-3.0044941902160645,14.090731620788574,3.4087274074554443,10.61212158203125,-9.89555549621582,14.536648750305176,-0.15526336431503296,7.460710525512695,-2.784158945083618,7.326074600219727,-3.506117582321167,12.174260139465332,5.450014114379883,8.195635795593262,2.221214532852173,6.521894931793213,4.616093158721924,6.918895721435547,3643.5041015625,1843.2839936391474,0.01092403,0.015909318,2.88312925170068
emmanuel,phrase2,noisy,audio/emmanuel/phrase2.wav,-168.52797070058338,22.67415641674222,11.002927626519218,25.13956796641329,8.269575280703185,13.68538171863899,3.7115488256971547,6.1834674764437905,1.0613715458583912,4.839064875855504,0.1547014364859448,4.927577713931513,-0.9148932823034951,4.745818167182064,-1.7378357246275054,5.263696295297094,-1.7871135948685746,4.982808645137952,-0.8436359103404717,4.392844278191926,0.8708234373895336,4.098885780729434,1.3231661404962707,4.004099891878879,1.863733811042605,4.163802811750578,9133.3798828125,444.1549552695166,0.032879137,0.022427505,3.4597732426303853
musana,phrase1,original,audio/musana/phrase1.wav,-388.5591735839844,126.94784545898438,104.10775756835938,64.37651824951172,-6.886914253234863,27.340913772583008,19.841203689575195,23.666057586669922,-5.827096462249756,24.57147789001465,5.979042053222656,19.72144317626953,9.960599899291992,10.831596374511719,-8.661177635192871,13.08253002166748,-6.190535068511963,8.979843139648438,7.271788597106934,9.581159591674805,-7.632060527801514,12.435263633728027,0.3848709166049957,10.506145477294922,-2.8961637020111084,11.310455322265625,4007.9932096962616,1623.9945458405111,0.026428882,0.03630368,2.4746938775510205
musana,phrase1,pitch_shifted,audio/musana/phrase1.wav,-409.0719299316406,129.61732482910156,91.39522552490234,58.906951904296875,-6.747471332550049,31.65813446044922,14.583465576171875,23.800355911254883,-9.029107093811035,18.099206924438477,11.16329574584961,19.511077880859375,-2.8039801120758057,16.47047233581543,-13.375239372253418,11.296425819396973,5.260989189147949,9.07003402709961,-2.142857313156128,13.386180877685547,-3.9569785594940186,10.586221694946289,2.2261862754821777,6.682577133178711,2.184344530105591,7.950342655181885,4506.376177351051,1745.381132332692,0.018506065,0.025258023,2.4746938775510205
musana,phrase1,time_stretched,audio/musana/phrase1.wav,-418.0653076171875,133.14410400390625,106.28079986572266,62.31598663330078,-9.650497436523438,26.291873931884766,21.02252197265625,22.98418426513672,-8.709442138671875,26.78575897216797,7.813265323638916,18.068405151367188,8.700769424438477,10.43910026550293,-9.173641204833984,12.434728622436523,-7.236355781555176,9.188481330871582,6.895219802856445,8.688491821289062,-8.693070411682129,12.823502540588379,1.0693843364715576,10.949830055236816,-3.2877416610717773,12.630653381347656,3964.8917551790732,1635.4052709471434,0.01786906,0.022669347,2.062222222222222
musana,phrase1,noisy,audio/musana/phrase1.wav,-160.01164858151566,31.216948737621184,12.200802100915924,28.43303572989223,6.814338658456151,10.968740745020208,5.656150441178246,11.064075814887776,-0.08603240771743174,10.902678860575627,1.5500236473326094,6.355714023976294,0.5920750918899637,5.848022101975482,-2.4562072760904163,8.234039378021942,-0.9625529043161902,6.070243661121747,-1.3979583292274542,4.518952128005962,-1.850858348566737,6.409563253896376,-0.34526541123759585,7.760178378274087,-1.9607991211432467,5.473709572852458,8905.790696188667,794.4196733963478,0.038295936,0.03060881,2.4746938775510205
musana,phrase2,original,audio/musana/phrase2.wav,-407.9081726074219,114.52628326416016,124.49656677246094,48.93219757080078,-0.7214918732643127,24.936630249023438,10.44167709350586,17.410737991333008,2.296588182449341,16.23895835876465,6.646057605743408,16.762439727783203,-0.3754428029060364,9.50892448425293,11.921600341796875,8.58011245727539,-6.803915023803711,12.37803840637207,4.472167015075684,9.083488464355469,-7.449682712554932,6.983425617218018,4.433366775512695,8.362887382507324,-3.0813000202178955,10.730619430541992,3668.4263323793316,1936.5866467714736,0.015874013,0.0179524,2.3253514739229026
musana,phrase2,pitch_shifted,audio/musana/phrase2.wav,-426.0729675292969,115.75179290771484,114.7725601196289,45.683448791503906,-4.831902027130127,23.860118865966797,5.847566604614258,17.15870475769043,3.1685824394226074,14.66719913482666,2.2070388793945312,11.06967544555664,6.484607696533203,11.438939094543457,1.0499684810638428,11.478967666625977,-4.824089527130127,8.767353057861328,0.4586702585220337,7.77273416519165,-3.9272754192352295,6.226202487945557,1.2054885625839233,6.784670352935791,-6.817124843597412,8.821805953979492,4059.9681892017325,2113.4908127270282,0.012277205,0.013867413,2.3253514739229026
musana,phrase2,time_stretched,audio/musana/phrase2.wav,-431.645263671875,115.65203094482422,121.94744110107422,44.723567962646484,0.41427239775657654,23.34071922302246,8.458869934082031,15.84380054473877,1.2454578876495361,15.40710163116455,5.333962440490723,16.079702377319336,0.2167171686887741,9.19983959197998,11.471081733703613,9.959005355834961,-7.448258399963379,12.026985168457031,4.80869197845459,8.320945739746094,-6.903199672698975,6.1887078285217285,5.510473251342773,9.214107513427734,-3.3265693187713623,10.027937889099121,3661.1572265625,1875.205726304573,0.012297186,0.013552393,1.9377777777777778
musana,phrase2,noisy,audio/musana/phrase2.wav,-165.3287171472951,19.93772893318014,12.790733068060515,20.210375635850177,6.999553109153824,11.05646848456949,3.2963890843940407,8.714715761668128,1.865119535220069,7.701947616502488,1.4990431501999943,5.952546515548118,1.2758913170671116,4.809040019333262,1.2780257799745707,4.899563894728356,0.9214589206114745,5.074502259305591,-0.24212822515454763,4.091144643438752,0.49953104401666015,3.7424838527263273,0.6490541051705808,3.3617122871361858,0.07183574921846125,3.646470508737452,9175.702931621287,358.6597085377052,0.028329715,0.013082853,2.3253514739229026
vestine,phrase1,original,audio/vestine/phrase1.wav,-342.6371765136719,118.42996978759766,75.78193664550781,52.45517349243164,-5.635430335998535,30.231138229370117,31.354869842529297,21.90281867980957,12.505535125732422,17.629859924316406,14.40812873840332,13.149015426635742,0.21634821593761444,18.941728591918945,-15.437765121459961,16.28301239013672,-21.94622802734375,14.914778709411621,4.731714725494385,8.514724731445312,-4.202608585357666,6.4320526123046875,-2.8316547870635986,7.899240016937256,-15.403393745422363,12.325029373168945,4361.011962890625,2168.3504531046633,0.046005838,0.039241128,1.8346938775510204
vestine,phrase1,pitch_shifted,audio/vestine/phrase1.wav,-359.12237548828125,115.54381561279297,64.76563262939453,43.14799118041992,1.3147459030151367,27.6514892578125,28.102218627929688,23.200531005859375,8.183445930480957,13.603842735290527,4.372056007385254,13.700079917907715,-17.060550689697266,23.24605369567871,-24.78983497619629,15.132437705993652,-4.280461311340332,8.393072128295898,3.1654582023620605,8.161444664001465,-13.181344985961914,9.372469902038574,-11.436965942382812,11.056947708129883,-9.822332382202148,8.452397346496582,5038.76953125,2125.8422357250242,0.03379936,0.030516803,1.8346938775510204
vestine,phrase1,time_stretched,audio/vestine/phrase1.wav,-365.4825744628906,129.3162384033203,79.30915069580078,43.21126174926758,-6.694098472595215,28.057462692260742,30.79953384399414,23.551433563232422,8.444735527038574,16.682863235473633,16.23714828491211,12.786145210266113,-1.7152156829833984,20.660629272460938,-16.48089599609375,15.369977951049805,-24.684350967407227,14.759295463562012,5.30413293838501,7.845366477966309,-2.040679693222046,5.8616533279418945,-1.1678978204727173,7.751414775848389,-15.136625289916992,10.838974952697754,4706.962446732955,1952.7721381972613,0.026806314,0.017432889,1.528888888888889
vestine,phrase1,noisy,audio/vestine/phrase1.wav,-155.8223497753022,22.35857982308568,16.47564368772985,19.884584636419852,6.719066043544943,9.546644177812617,6.201482885726648,7.899116719014496,5.688659660661324,7.717026449948051,3.253604969155673,5.686434096660064,-1.5568988769060799,6.464429760451891,-5.497135767715466,9.509153383920424,-5.990128628518329,7.199749643491878,-2.510258901084888,5.346408776280863,-1.6608748525309323,4.910878736071377,-4.6784021675492165,5.809351524787339,-5.61691999865644,6.060069612378384,8865.892639160156,453.45144963584676,0.05356192,0.034380976,1.8346938775510204
vestine,phrase2,original,audio/vestine/phrase2.wav,-444.68292236328125,108.06465911865234,64.68334197998047,55.675010681152344,15.796829223632812,28.234743118286133,34.56006622314453,20.05304527282715,22.037092208862305,13.814840316772461,20.60558319091797,17.436723709106445,4.921797752380371,16.621004104614258,-5.587979793548584,12.62929630279541,-5.740556240081787,18.6580753326416,3.47662353515625,9.764778137207031,-2.4780566692352295,9.594680786132812,1.1597907543182373,7.343640327453613,-6.118049144744873,10.943900108337402,4763.349609375,1935.4623404110566,0.020005109,0.025144188,2.432018140589569
vestine,phrase2,pitch_shifted,audio/vestine/phrase2.wav,-468.2532043457031,104.54373168945312,58.750980377197266,51.7255859375,21.78429412841797,32.823795318603516,34.26704025268555,19.800687789916992,20.509191513061523,12.918704986572266,11.377177238464355,16.09341812133789,-7.374309062957764,17.66195297241211,-8.833473205566406,22.230045318603516,1.3905140161514282,10.965167045593262,0.7532703876495361,7.286747455596924,-3.76196026802063,7.877675533294678,-4.3279194831848145,9.159788131713867,-3.5460710525512695,7.778393268585205,5065.01953125,1998.970354898499,0.0145929465,0.018972935,2.432018140589569
